country_name,year,time,deaths
Austria,2019,22,1495
Austria,2019,23,1520
Austria,2019,24,1554
Austria,2019,25,1424
Austria,2019,26,1454
Austria,2019,27,1507
Austria,2019,28,1338
Austria,2019,29,1430
Austria,2019,30,1557
Austria,2019,31,1457
Austria,2019,32,1406
Austria,2019,33,1407
Austria,2019,34,1453
Austria,2019,35,1501
Austria,2019,36,1423
Austria,2019,37,1407
Austria,2019,38,1452
Austria,2019,39,1574
Austria,2019,40,1555
Austria,2019,41,1592
Austria,2019,42,1497
Austria,2019,43,1545
Austria,2019,44,1536
Austria,2019,45,1555
Austria,2019,46,1558
Austria,2019,47,1553
Austria,2019,48,1586
Austria,2019,49,1599
Austria,2019,50,1667
Austria,2019,51,1591
Austria,2019,52,1636
Austria,2020,1,1607
Austria,2020,2,1691
Austria,2020,3,1791
Austria,2020,4,1773
Austria,2020,5,1941
Austria,2020,6,1675
Austria,2020,7,1714
Austria,2020,8,1718
Austria,2020,9,1761
Austria,2020,10,1734
Austria,2020,11,1714
Austria,2020,12,1828
Austria,2020,13,1756
Austria,2020,14,1821
Austria,2020,15,1794
Austria,2020,16,1691
Austria,2020,17,1580
Austria,2020,18,1472
Austria,2020,19,1516
Austria,2020,20,1480
Austria,2020,21,1477
Austria,2020,22,1410
Austria,2020,23,1483
Austria,2020,24,1457
Austria,2020,25,1406
Austria,2020,26,1433
Austria,2020,27,1554
Austria,2020,28,1378
Austria,2020,29,1439
Austria,2020,30,1445
Austria,2020,31,1522
Austria,2020,32,1427
Austria,2020,33,1603
Austria,2020,34,1467
Austria,2020,35,1488
Austria,2020,36,1518
Austria,2020,37,1562
Austria,2020,38,1560
Austria,2020,39,1531
Austria,2020,40,1573
Austria,2020,41,1620
Austria,2020,42,1612
Austria,2020,43,1772
Austria,2020,44,1886
Austria,2020,45,2004
Austria,2020,46,2283
Austria,2020,47,2401
Austria,2020,48,2428
Austria,2020,49,2544
Austria,2020,50,2478
Austria,2020,51,2255
Austria,2020,52,2123
Austria,2020,53,2000
Austria,2021,1,1953
Austria,2021,2,1954
Austria,2021,3,2003
Austria,2021,4,1940
Austria,2021,5,1860
Austria,2021,6,1743
Austria,2021,7,1715
Austria,2021,8,1661
Austria,2021,9,1579
Austria,2021,10,1747
Austria,2021,11,1691
Austria,2021,12,1649
Austria,2021,13,1769
Austria,2021,14,1662
Austria,2021,15,1694
Austria,2021,16,1689
Austria,2021,17,1691
Austria,2021,18,1657
Austria,2021,19,1601
Austria,2021,20,1520
Austria,2021,21,1486
Austria,2021,22,1602
Austria,2021,23,1557
Austria,2021,24,1598
Austria,2021,25,1652
Austria,2021,26,1504
Austria,2021,27,1469
Austria,2021,28,1454
Austria,2021,29,1574
Austria,2021,30,1530
Austria,2021,31,1455
Austria,2021,32,1621
Austria,2021,33,1621
Austria,2021,34,1567
Austria,2021,35,1542
Austria,2021,36,1627
Austria,2021,37,1580
Austria,2021,38,1577
Austria,2021,39,1675
Austria,2021,40,1600
Austria,2021,41,1632
Austria,2021,42,1721
Austria,2021,43,1887
Austria,2021,44,1943
Austria,2021,45,2052
Austria,2021,46,2111
Austria,2021,47,2152
Austria,2021,48,2201
Austria,2021,49,2120
Austria,2021,50,1930
Austria,2021,51,1856
Austria,2021,52,1864
Austria,2022,1,1756
Austria,2022,2,1679
Austria,2022,3,1816
Austria,2022,4,1766
Austria,2022,5,1792
Austria,2022,6,1858
Austria,2022,7,1916
Austria,2022,8,1847
Austria,2022,9,1957
Austria,2022,10,1848
Austria,2022,11,1918
Austria,2022,12,2000
Austria,2022,13,1953
Austria,2022,14,1964
Austria,2022,15,1813
Austria,2022,16,1655
Austria,2022,17,1687
Austria,2022,18,1650
Austria,2022,19,1574
Austria,2022,20,1601
Austria,2022,21,1531
Austria,2022,22,1578
Austria,2022,23,1589
Austria,2022,24,1629
Austria,2022,25,1652
Austria,2022,26,1655
Austria,2022,27,1597
Austria,2022,28,1561
Austria,2022,29,1847
Austria,2022,30,1732
Austria,2022,31,1661
Austria,2022,32,1560
Austria,2022,33,1685
Austria,2022,34,1550
Austria,2022,35,1454
Austria,2022,36,1544
Austria,2022,37,1589
Austria,2022,38,1652
Austria,2022,39,1727
Austria,2022,40,1870
Austria,2022,41,1764
Austria,2022,42,1766
Austria,2022,43,1829
Austria,2022,44,1718
Austria,2022,45,1733
Austria,2022,46,1780
Austria,2022,47,1744
Austria,2022,48,1872
Austria,2022,49,1901
Austria,2022,50,2175
Austria,2022,51,2284
Austria,2022,52,2298
Austria,2023,1,2355
Austria,2023,2,2115
Austria,2023,3,1838
Austria,2023,4,1772
Austria,2023,5,1766
Austria,2023,6,1673
Austria,2023,7,1765
Austria,2023,8,1858
Austria,2023,9,1846
Austria,2023,10,1843
Austria,2023,11,1808
Austria,2023,12,1750
Austria,2023,13,1690
Austria,2023,14,1686
Austria,2023,15,1670
Austria,2023,16,1726
Austria,2023,17,1638
Austria,2023,18,1586
Austria,2023,19,1612
Austria,2023,20,1524
Austria,2023,21,1534
Austria,2023,22,1521
Austria,2023,23,1476
Austria,2023,24,1526
Austria,2023,25,1571
Austria,2023,26,1400
Austria,2023,27,1512
Austria,2023,28,1536
Austria,2023,29,1532
Austria,2023,30,1446
Austria,2023,31,1423
Austria,2023,32,1538
Austria,2023,33,1542
Austria,2023,34,1603
Austria,2023,35,1407
Austria,2023,36,1521
Austria,2023,37,1580
Austria,2023,38,1497
Austria,2023,39,1493
Austria,2023,40,1563
Austria,2023,41,1622
Austria,2023,42,1649
Austria,2023,43,1753
Austria,2023,44,1722
Austria,2023,45,1749
Austria,2023,46,1806
Austria,2023,47,1814
Austria,2023,48,1969
Austria,2023,49,1869
Austria,2023,50,1963
Austria,2023,51,2064
Austria,2023,52,1946
Austria,2024,1,1946
Austria,2024,2,1930
Austria,2024,3,1907
Austria,2024,4,1920
Austria,2024,5,1890
Austria,2024,6,1987
Austria,2024,7,1851
Austria,2024,8,1803
Austria,2024,9,1763
Austria,2024,10,1661
Austria,2024,11,1610
Austria,2024,12,1550
Austria,2024,13,1644
Austria,2024,14,1570
Austria,2024,15,1580
Austria,2024,16,1495
Austria,2024,17,1542
Austria,2024,18,1584
Austria,2024,19,1442
Austria,2024,20,1547
Austria,2024,21,1567
Austria,2024,22,1495
Austria,2024,23,1548
Austria,2024,24,1478
Austria,2024,25,1534
Austria,2024,26,1534
Austria,2024,27,1469
Austria,2024,28,1651
Austria,2024,29,1575
Austria,2024,30,1583
Austria,2024,31,1589
Austria,2024,32,1461
Austria,2024,33,1685
Austria,2024,34,1625
Austria,2024,35,1526
Austria,2024,36,1612
Austria,2024,37,1616
Austria,2024,38,1593
Austria,2024,39,1678
Austria,2024,40,1725
Austria,2024,41,1829
Austria,2024,42,1743
Austria,2024,43,1679
Austria,2024,44,1736
Austria,2024,45,1683
Austria,2024,46,1704
Austria,2024,47,1744
Austria,2024,48,1670
Austria,2024,49,1813
Austria,2024,50,1679
Austria,2024,51,1744
Austria,2024,52,1751
Belgium,2015,1,2461
Belgium,2015,2,2525
Belgium,2015,3,2526
Belgium,2015,4,2510
Belgium,2015,5,2644
Belgium,2015,6,2727
Belgium,2015,7,2892
Belgium,2015,8,2774
Belgium,2015,9,2643
Belgium,2015,10,2457
Belgium,2015,11,2380
Belgium,2015,12,2380
Belgium,2015,13,2270
Belgium,2015,14,2163
Belgium,2015,15,2218
Belgium,2015,16,2152
Belgium,2015,17,2087
Belgium,2015,18,2005
Belgium,2015,19,2063
Belgium,2015,20,1976
Belgium,2015,21,1950
Belgium,2015,22,1905
Belgium,2015,23,1942
Belgium,2015,24,2003
Belgium,2015,25,1900
Belgium,2015,26,1888
Belgium,2015,27,2301
Belgium,2015,28,1908
Belgium,2015,29,1797
Belgium,2015,30,1740
Belgium,2015,31,1777
Belgium,2015,32,1997
Belgium,2015,33,1852
Belgium,2015,34,1755
Belgium,2015,35,1919
Belgium,2015,36,1775
Belgium,2015,37,1917
Belgium,2015,38,1844
Belgium,2015,39,1932
Belgium,2015,40,1973
Belgium,2015,41,2019
Belgium,2015,42,2059
Belgium,2015,43,2038
Belgium,2015,44,2095
Belgium,2015,45,1951
Belgium,2015,46,1934
Belgium,2015,47,2020
Belgium,2015,48,2021
Belgium,2015,49,1992
Belgium,2015,50,2113
Belgium,2015,51,2085
Belgium,2015,52,2031
Belgium,2015,53,2123
Belgium,2016,1,2244
Belgium,2016,2,2234
Belgium,2016,3,2295
Belgium,2016,4,2263
Belgium,2016,5,2180
Belgium,2016,6,2127
Belgium,2016,7,2121
Belgium,2016,8,2230
Belgium,2016,9,2336
Belgium,2016,10,2264
Belgium,2016,11,2248
Belgium,2016,12,2364
Belgium,2016,13,2273
Belgium,2016,14,2080
Belgium,2016,15,2160
Belgium,2016,16,2049
Belgium,2016,17,1996
Belgium,2016,18,2087
Belgium,2016,19,2065
Belgium,2016,20,1926
Belgium,2016,21,1946
Belgium,2016,22,1885
Belgium,2016,23,1856
Belgium,2016,24,1851
Belgium,2016,25,1920
Belgium,2016,26,1846
Belgium,2016,27,1899
Belgium,2016,28,1933
Belgium,2016,29,2030
Belgium,2016,30,1917
Belgium,2016,31,1801
Belgium,2016,32,1788
Belgium,2016,33,1976
Belgium,2016,34,2120
Belgium,2016,35,1866
Belgium,2016,36,1835
Belgium,2016,37,1938
Belgium,2016,38,1769
Belgium,2016,39,1906
Belgium,2016,40,1904
Belgium,2016,41,2065
Belgium,2016,42,2041
Belgium,2016,43,2025
Belgium,2016,44,2088
Belgium,2016,45,2093
Belgium,2016,46,2177
Belgium,2016,47,2143
Belgium,2016,48,2191
Belgium,2016,49,2221
Belgium,2016,50,2221
Belgium,2016,51,2321
Belgium,2016,52,2418
Belgium,2017,1,2557
Belgium,2017,2,2735
Belgium,2017,3,2645
Belgium,2017,4,2691
Belgium,2017,5,2950
