valence,year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo
0.57,1951,0.851,0.679,0.123,0,5,0.396,-19.238,0,0.52,129.121
0.5760000000000001,1983,0.0468,0.6920000000000001,0.856,0.507,1,0.252,-7.786,1,0.0696,136.91299999999998
0.118,1942,0.973,0.236,0.265,0.0282,5,0.35,-16.954,0,0.0522,92.532
0.626,2005,0.227,0.7290000000000001,0.705,0,11,0.109,-7.27,0,0.396,91.582
0.435,1983,0.0708,0.423,0.313,7.0999999999999e-4,9,0.132,-13.694,0,0.0348,148.243
0.8170000000000001,1998,0.779,0.84,0.197,8.79e-5,7,0.154,-12.96,1,0.0932,122.769
0.7,1967,0.0867,0.657,0.387,0.0011,4,0.158,-14.241,0,0.0504,85.375
0.536,1961,0.878,0.569,0.541,0.001,5,0.248,-9.264,1,0.0351,117.906
0.35700000000000004,1957,0.897,0.618,0.229,0.16899999999999998,3,0.0775,-11.359000000000002,1,0.05,108.582
0.971,2009,0.223,0.8490000000000001,0.731,1.49e-6,7,0.0506,-8.335,1,0.11,148.565
0.0354,1958,0.853,0.196,0.0492,0.139,8,0.1,-23.371,1,0.0424,74.053
0.487,1924,0.995,0.535,0.151,0,10,0.376,-16.059,0,0.0675,81.78699999999998
0.5329999999999999,1927,0.994,0.611,0.168,0.8390000000000001,2,0.177,-17.430999999999994,1,0.0924,113.604
0.333,1959,0.708,0.436,0.185,1.01e-4,5,0.106,-13.869000000000002,1,0.0547,89.616
0.405,1989,0.0197,0.461,0.785,6.709999999999999e-5,9,0.102,-6.391,0,0.0307,77.547
0.483,2013,0.0969,0.5479999999999999,0.511,0,11,0.6609999999999999,-10.424,1,0.274,80.747
0.338,2010,0.0133,0.478,0.951,2.21e-6,2,0.0533,-2.347,1,0.19,179.97799999999995
0.534,2003,0.127,0.597,0.931,0,11,0.0504,-4.591,0,0.0984,92.003
0.953,1940,0.962,0.647,0.381,0,7,0.0562,-11.408,1,0.26,120.641
0.545,1949,0.934,0.404,0.377,9.46e-5,7,0.145,-8.399,0,0.0367,116.386
0.244,1982,0.00138,0.442,0.7440000000000001,0.6509999999999999,2,0.166,-10.347,1,0.0574,128.002
0.122,1964,0.925,0.245,0.0697,0.0137,7,0.125,-24.675,1,0.0458,134.661
0.445,2012,0.00106,0.402,0.924,0,1,0.0786,-3.867,0,0.159,169.99599999999995
0.335,2004,0.882,0.377,0.131,0,3,0.101,-14.245,1,0.0373,144.338
0.6829999999999999,1930,0.8270000000000001,0.721,0.454,0,9,0.18,-17.347,1,0.937,116.449
0.608,1938,0.955,0.7440000000000001,0.242,0.625,7,0.132,-14.103,0,0.0388,132.48
0.495,1964,0.901,0.563,0.319,0.902,9,0.11,-16.34,0,0.0378,114.188
0.851,2013,0.123,0.706,0.728,0,7,0.185,-3.602,1,0.0852,121.017
0.924,2020,0.0785,0.727,0.7759999999999999,0,10,0.6920000000000001,-5.135,0,0.252,171.87400000000005
0.6779999999999999,1962,0.951,0.307,0.359,0.843,0,0.0954,-16.070999999999998,0,0.048,159.297
0.275,1964,0.969,0.28,0.232,2.9600000000000005e-5,2,0.168,-13.2,1,0.0436,168.352
0.231,1936,0.675,0.259,0.136,0.499,9,0.254,-19.233,1,0.0448,83.473
0.615,1926,0.996,0.619,0.35600000000000004,0.935,2,0.247,-10.752,1,0.0565,110.146
0.525,1957,0.777,0.519,0.309,0.31,5,0.333,-12.97,1,0.104,91.342
0.931,1969,0.156,0.63,0.525,2.09e-5,2,0.369,-11.154000000000002,1,0.0269,89.738
0.768,1961,0.643,0.6579999999999999,0.383,0,4,0.328,-12.27,1,0.0301,116.021
0.665,1979,0.0325,0.7909999999999999,0.603,0,2,0.0389,-11.123,1,0.0641,115.722
0.743,2008,0.115,0.753,0.79,0,7,0.0791,-4.012,1,0.22,114.662
0.551,1958,0.843,0.618,0.3670000000000001,9.75e-6,0,0.107,-12.015999999999998,0,0.0328,105.047
0.541,1948,0.97,0.368,0.0874,0.321,7,0.125,-15.798,1,0.0419,80.899
0.474,1961,0.885,0.5589999999999999,0.28800000000000003,0.926,5,0.642,-19.037,1,0.0381,87.99799999999998
0.361,1948,0.994,0.34600000000000003,0.443,0.32299999999999995,11,0.0921,-6.955,0,0.0379,127.328
0.691,1973,0.0396,0.609,0.624,1.68e-4,7,0.277,-11.717,1,0.0292,123.191
0.8370000000000001,1987,0.298,0.835,0.637,0.0111,9,0.0472,-9.613,1,0.0327,103.92
0.0536,1953,0.393,0.193,0.103,0.655,11,0.166,-21.716,1,0.0363,101.668
0.889,2012,0.0774,0.8690000000000001,0.805,0,8,0.0686,-5.722,1,0.0393,125.235
0.472,1982,0.878,0.383,0.34,0,2,0.083,-15.423,1,0.0368,143.482
0.343,1968,0.812,0.491,0.375,0.051,0,0.163,-10.018,1,0.0336,140.049
0.0956,1959,0.987,0.16899999999999998,0.189,0.818,4,0.0891,-18.161,0,0.0375,114.299
0.561,1935,0.777,0.742,0.165,9.01e-5,6,0.251,-23.114,1,0.949,105.492
0.536,2011,0.49,0.521,0.354,0,5,0.223,-6.494,1,0.0329,139.819
0.927,1983,0.163,0.784,0.453,0,5,0.45,-16.124000000000002,1,0.0506,110.704
0.594,1930,0.986,0.272,0.299,0.00716,6,0.618,-13.475,0,0.075,166.179
0.0989,2006,0.705,0.21600000000000005,0.289,0.00606,8,0.115,-8.992,1,0.031,139.749
0.84,1923,0.995,0.634,0.435,0.8809999999999999,7,0.204,-12.422,0,0.0474,121.516
0.737,1981,0.71,0.768,0.318,5.11e-5,4,0.145,-17.615,0,0.256,116.606
0.917,1992,0.35100000000000003,0.815,0.42,1.48e-4,0,0.0574,-13.373,1,0.0296,126.521
0.6509999999999999,1992,0.57,0.6829999999999999,0.59,0.0432,0,0.0788,-11.839,1,0.0483,179.47
0.142,1961,0.875,0.13699999999999998,0.124,2.46e-4,8,0.7040000000000001,-19.063,1,0.0377,72.574
0.029,1935,0.433,0.149,0.00537,0.923,4,0.108,-27.73,1,0.0415,135.06
0.5589999999999999,1934,0.993,0.299,0.303,0.904,7,0.154,-14.932,1,0.0517,80.735
0.693,1970,0.0381,0.6970000000000001,0.8959999999999999,0.0124,2,0.0495,-4.099,0,0.0392,104.854
0.613,2002,0.448,0.8590000000000001,0.684,1.15e-5,2,0.202,-6.9620000000000015,1,0.28,91.601
0.9,1974,0.373,0.732,0.872,2.94e-5,4,0.644,-5.509,0,0.119,95.065
0.568,1963,0.921,0.29,0.149,0.00222,8,0.6990000000000001,-20.415,1,0.102,145.704
0.0526,2003,0.0593,0.172,0.249,0.857,2,0.189,-13.595999999999998,1,0.0311,99.308
0.625,1962,0.767,0.56,0.338,0,7,0.392,-14.691,1,0.0462,127.305
0.523,2004,7.34e-4,0.279,0.878,0,8,0.102,-4.843,1,0.261,150.406
0.73,2016,0.223,0.7140000000000001,0.62,0,11,0.109,-5.045,1,0.29600000000000004,80.109
0.868,1926,0.943,0.642,0.718,0.731,8,0.0869,-5.48,1,0.0448,123.522
